DateTime,power,power_q5,power_q10,power_q25,power_q75,power_q90,power_q95
2025-06-15 10:00:00+00:00,40310.29901787227,27455.11537785228,39240.290035191785,40949.828703651576,40757.51162190978,41117.03381922772,41306.13198805296
2025-06-15 11:00:00+00:00,40305.69669257581,27474.72398909966,39096.24065090628,40937.22367525641,40782.50037098962,40968.79858025728,41322.270823652594
2025-06-15 12:00:00+00:00,40081.28446768553,27504.106683418573,38992.74869983,40752.41620363388,40643.09517280438,40709.42092851308,41086.84043060135
2025-06-15 13:00:00+00:00,38889.17549532214,26774.393318662245,37762.80896710982,39568.827698617664,39194.31479833849,39106.91596559792,40351.29353253371
2025-06-15 14:00:00+00:00,35757.0053606526,25442.896744414153,36578.407651516056,35118.0707426314,36063.49187389975,36157.80446836538,39810.8246581214
2025-06-15 15:00:00+00:00,31614.946581716576,23755.49923657367,34724.37038686043,30588.5620102347,32425.273469098003,35624.92545464947,38946.354104386686
2025-06-15 16:00:00+00:00,28468.158066334814,21819.955573941086,33100.48957181364,27662.72767160282,25965.853911408944,34719.48527505703,36863.89955459395
2025-06-15 17:00:00+00:00,25741.476663092642,19963.93353768126,31309.05828867456,25115.677307133887,25466.80042907202,33712.41159682902,35824.41662371052
2025-06-15 18:00:00+00:00,23210.0296889024,18860.394264644732,30431.060963530595,23939.491299123383,24926.801056560973,32548.567051964208,35257.96528365688
2025-06-15 19:00:00+00:00,19954.784018076527,18287.50829565578,29829.065044732943,23027.865606414754,24699.88086624671,32386.460629066114,35066.23173113904
2025-06-15 20:00:00+00:00,19897.325094298343,18149.726835751157,29556.267982853427,22935.188275569697,24680.04564828207,32346.374486133744,35055.513211461024
2025-06-15 21:00:00+00:00,19924.873956071628,18197.430155593665,29623.51782473197,22932.79959771056,24679.79747009459,32537.149989919883,34674.398465200306
2025-06-15 22:00:00+00:00,19665.51234578435,18182.28577876353,29589.669068353272,22884.837008656417,24393.50883758181,32221.334061220692,33664.43322906565
2025-06-15 23:00:00+00:00,19572.265602030016,18141.98637422622,29581.579668665534,22822.56091103365,24393.382518108083,32228.885291893355,33600.88857541821
2025-06-16 00:00:00+00:00,19572.261323901304,18024.69787774973,29549.652909647168,22817.05491480642,24302.740884597555,32227.1281109521,33452.15100367411
2025-06-16 01:00:00+00:00,19571.008195409304,18152.518862563476,29608.332225360384,22829.190921121684,24302.79209807735,32234.786857968516,33453.07642571847
2025-06-16 02:00:00+00:00,19601.820572607594,18204.354418988634,29734.001383663974,22734.622846086746,24304.865940033036,32035.750129725184,33442.20105094083
2025-06-16 03:00:00+00:00,22026.572909249524,18340.492988555812,29960.22012153026,22932.743998137903,24046.604198223307,31698.60143127571,33444.77334223825
